,metrics.tp,metrics.precision,metrics.tn,metrics.fp,metrics.fn,metrics.specificity,metrics.recall,metrics.fscore,params.model,params.decision,hight_threshold,s_t,T,th
80,69.0,0.9078947368421053,293.0,7.0,231.0,0.9766666666666667,0.23,0.3670212765957447,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 160}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,30,160,0.03
81,234.0,0.7005988023952096,200.0,100.0,66.0,0.6666666666666667,0.78,0.7381703470031545,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 130}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,50,130,0.03
82,183.0,0.7922077922077922,252.0,48.0,117.0,0.84,0.61,0.6892655367231638,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 140}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,50,140,0.02
83,8.0,1.0,300.0,0.0,292.0,1.0,0.02666666666666667,0.05194805194805195,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 170}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,30,170,0.01
84,38.0,0.95,298.0,2.0,262.0,0.9933333333333333,0.12666666666666668,0.2235294117647059,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 160}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,40,160,0.01
85,104.0,0.8387096774193549,280.0,20.0,196.0,0.9333333333333333,0.3466666666666667,0.490566037735849,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 150}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,40,150,0.02
86,87.0,0.8365384615384616,283.0,17.0,213.0,0.9433333333333334,0.29,0.43069306930693074,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 150}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,50,150,0.01
87,173.0,0.8160377358490566,261.0,39.0,127.0,0.87,0.5766666666666667,0.67578125,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 140}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,40,140,0.03
88,32.0,0.9696969696969697,299.0,1.0,268.0,0.9966666666666667,0.10666666666666667,0.19219219219219222,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 160}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,30,160,0.02
89,92.0,0.92,292.0,8.0,208.0,0.9733333333333334,0.30666666666666664,0.4600000000000001,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 150}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,30,150,0.03
